竺院辅学计划网站,https://ckc-agc.bowling233.top/,竺可桢学院辅学计划站点，涉及数理、编程等方面的知识，适合竺可桢学院中低年级同学参考。,1
Linear-Algebra-Left-Undone,https://github.com/yhwu-is/Linear-Algebra-Left-Undone,竺院辅学讲义，针对图灵班线性代数的两本教材，力求搭建一个较为完整的线性代数学习体系，非常推荐。,1
图灵 23 学长组资料汇总,https://turing2023.tonycrane.cc/,图灵 2023 年迎新页面，适合不限于图灵班的新生参考。,1
安全攻防实践(CTF),http://courses.zjusec.com,安全攻防实践(CTF)短学期课程网站。,2
23 年秋冬操作系统实验,https://zju-sec.github.io/os23fall-stu/,2023 年操作系统课程实验指导手册。,2
ZJU PPL Course,https://github.com/ZJU-PPL,PPL 课程资料仓库。,2
24 年春夏数字逻辑设计实验,https://guahao31.github.io/2024_DD/,2024 年数字逻辑设计实验指导手册，适用于部分班级，参考前请询问老师。,2
24 年春夏编译原理实验,https://compiler.pages.zjusct.io/sp24/,2024 年春夏编译原理刘忠鑫班实验指导手册，需要内网访问。,2
求是潮 zju-icicles,https://github.com/QSCTech/zju-icicles,浙江大学课程攻略共享计划，范围涵盖 ZJU 所有课程，ZJU 规模最大的课程资源整理仓库，缺点是部分资源可能比较老旧。,3
芭蕉的课程资料整理,https://github.com/ruoxining/ZJUCourse,ZJU课程资料，主要含英语 + CS 专业课，不含不合适公开的资料和违反 honor code 的作业。,3
科研学习经验分享,https://github.com/pengsida/learning_research,彭思达学长的科研经历分享，学长很厉害，分享的内容很有用。,3
CourseNoteOfZJUSE,https://github.com/Zhang-Each/CourseNoteOfZJUSE,小角龙整理的 ZJU-SE 的一些课程笔记，历年卷，课程经历分享，被誉为软工圣经。,3
ZJU_Course,https://github.com/RyanFcr/ZJU_Course,浙江大学 20 级图灵信安学长的课程资料整理。,3
ZJUCourse,https://github.com/CSWellesSun/ZJUCourse,浙江大学 20 级图灵计科学长的课程资料整理。,3
